line;display_name;contains;info;morning;afternoon;evening
prednisolon pred forte 1% 5ml;pred forte 1% 5ml;prednisolon 1%;"Công dụng (Chỉ định)
Các chứng viêm đáp ứng với steroid trong viêm mi mắt và kết mạc nhãn cầu, viêm giác mạc và phân thùy trước nhãn cầu.
Liều dùng
Thuốc tra mắt
Nhỏ 1 đến 2 giọt vào túi kết mạc từ 2 đến 4 lần trong ngày. Trong 24 đến 48 giờ đầu, liều có thể tăng lên 2 giọt mỗi giờ. Lưu ý không nên ngưng thuốc sớm.
Không sử dụng trong trường hợp sau (Chống chỉ định)
Nhiễm trùng mắt mưng mủ chưa được điều trị, viêm giác mạc nông (hoặc biểu mô) do herpes simplex (viêm giác mạc dạng đuôi gai), bệnh đậu mùa, bệnh thủy đậu và hầu hết các bệnh nhiễm virus khác của giác mạc và kết mạc, nhiễm mycobacterium như bệnh lao mắt, bệnh nấm cấu trúc mắt và mẫn cảm với bất cứ thành phần nào của thuốc.";1;1;1
methylprednisolon medrol 16mg;medrol 16mg;methylprednisolon 16mg;"Công dụng (Chỉ định)

Like1

Share
 
Rối loạn nội tiết: thiểu năng vỏ thượng thận nguyên phát hay thứ phát, tăng sản thượng thận bẩm sinh, viêm tuyến giáp không sinh mủ, calci máu cao phối hợp ung thư.
Rối loạn do thấp khớp: viêm khớp do vẩy nến, viêm khớp dạng thấp, viêm cột sống dính khớp, viêm túi thanh mạc cấp và bán cấp, viêm bao hoạt dịch gân cấp tính không đặc hiệu, viêm khớp cấp tính do gút, viêm xương khớp sau chấn thương, viêm màng hoạt dịch của chứng thoái hóa khớp, viêm mõm lồi cầu xương.
Bệnh hệ thống tạo keo: lupus ban đỏ toàn thân, viêm da cơ toàn thân, thấp tim cấp, đau cơ dạng thấp, viêm động mạch do tế bào khổng lồ.
Bệnh thuộc về da: viêm da tróc vẩy, u sùi dạng nấm, vẩy nến thể nặng, viêm da tiết bã nhờn thể nặng, Pemphigus, viêm da bọng nước dạng Herpes, hồng ban đa dạng thể nặng.
Bệnh dị ứng: các phản ứng quá mẫn với thuốc, viêm da do tiếp xúc, viêm da dị ứng do di truyền, viêm mũi dị ứng theo mùa hoặc quanh năm, bệnh huyết thanh, hen phế quản.
Bệnh về mắt: viêm loét kết mạc do dị ứng, viêm kết mạc dị ứng, nhiễm trùng giác mạc do Herpes Zoster, viêm giác mạc, viêm tiền phòng, viêm màng mạch – võng mạc, viêm màng mạch nhỏ sau lan tỏa và viêm màng mạch, viêm thần kinh thị giác, viêm mắt đồng cảm, viêm mống mắt và viêm mống mắt - thể mi.
Bệnh ở đường hô hấp: sarcoid có triệu chứng, hội chứng Loeffler không thể điều trị bằng cách khác, chứng nhiễm độc berylli, lao phổi tối cấp hay lan tỏa khi dùng đồng thời hóa trị liệu kháng lao thích hợp, viêm phổi hít.
Rối loạn về huyết học: Xuất huyết giảm tiểu cầu vô căn ở người lớn, giảm tiểu cầu thứ phát ở người lớn, thiếu máu tán huyết mắc phải, chứng giảm nguyên hồng cầu, thiếu máu giảm sản bẩm sinh.
Các bệnh ung thư: Điều trị tạm thời trong: bệnh bạch cầu và u lympho ở người lớn, bệnh bạch cầu cấp ở trẻ em.
Tình trạng phù: Để giúp bài niệu và giảm protein trong hội chứng thận hư có cân bằng không kèm theo urê máu cao, hoặc hội chứng thận hư do lupus ban đỏ rải rác.
Bệnh về đường tiêu hóa: Viêm loét đại tràng, viêm đoạn ruột non.
Hệ thần kinh: bệnh đa xơ cứng, các trường hợp phù kết hợp với u não.
Cấy ghép nội tạng.
Các chỉ định khác: Lao màng não có tắc nghẽn khoang dưới nhện hoặc dọa tắc khi dùng đồng thời hóa trị liệu kháng lao thích hợp, bệnh giun xoắn liên quan đến cơ tim và thần kinh.";1;1;1
Ofmantine-domesco 625mg Amoxicillin Clavulanic acid;Ofmantine-Domesco 625mg ;Amoxicillin Clavulanic acid;"Thuốc Ofmantine 625Mg có thành phần là Amoxicillin, Acid clavulanic có tác dụng điều trị trong thời gian ngắn các bệnh nhiễm khuẩn do vi khuẩn nhạy cảm.
Công dụng của Ofmantine Domesco 
Ofmantine được dùng để điều trị trong thời gian ngắn các bệnh nhiễm khuẩn do vi khuẩn nhạy cảm sau:
Nhiễm khuẩn nặng đường hô hấp trên: Viêm amidan, viêm xoang, viêm tai giữa.
Nhiễm khuẩn hô hấp dưới bởi các chủng H. influenzae và Moraxella catarrhalis sản sinh beta-lactamase: Viêm phế quản cấp và mạn, viêm phổi – phế quản.
Nhiễm khuẩn nặng đường tiết niệu – sinh dục bởi các chủng E. coli, Klebsiella và Enterobacter sản sinh beta-lactamase nhạy cảm: Viêm bàng quang, viêm niệu đạo, viêm bể thận (nhiễm khuẩn đường sinh dục
nữ).
Nhiễm khuẩn da và mô mềm: Mụn nhọt, áp xe, nhiễm khuẩn vết thương, viêm mô tế bào.
Nhiễm khuẩn xương và khớp: Viêm tủy xương.
Nhiễm khuẩn nha khoa: Áp xe ổ răng.
Nhiễm khuẩn khác: Sẩy – phá thai nhiễm khuẩn, nhiễm khuẩn sản khoa, nhiễm khuẩn trong ổ bụng.  Chỉ định sử dụng thuốc
Viêm amiđan, viêm xoang, viêm tai giữa, viêm phế quản cấp & mãn, viêm phổi, viêm bàng quang, viêm niệu đạo, viêm bể thận.
Mụn nhọt, áp xe, nhiễm khuẩn vết thương, viêm tủy xương. Áp xe ổ răng. Nhiễm khuẩn sản phụ khoa, ổ bụng.
 Liều dùng Ofmantine Domesco như thế nào?
Người lớn và trẻ em trên 40 kg: 1 viên 625 mg x 2 lần/ngày.
Nhiễm khuẩn nặng và nhiễm khuẩn đường hô hấp: 1 viên 625 mg x 3 lần/ngày, trong 5 ngày.
Người cao tuổi: Không cần điều chỉnh liều trừ khi độ thanh thải creatinin ≤ 30 ml/phút.
Không dùng cho trẻ em dưới 40 kg.
Trường hợp suy thận ở người lớn và trẻ em trên 40 kg cần phải giảm liều cho phù hợp:
Độ thanh thải creatinin > 30 ml/phút: Không cần điều chỉnh liều.
Độ thanh thải creatinin từ 10 – 30 ml/phút: 1 viên 625 mg x 2 lần /ngày.
Độ thanh thải creatinin < 10 ml/phút: 1 viên 625 mg x 1 lần/ngày.
Thẩm phân máu: 1 viên 625 mg x 1 lần/ngày, uống trong và sau khi thẩm phân.";1;1;1
Vacomuc 200mg (Acetylcystein 200);Vacomuc 200mg;Acetylcystein 200;"Liều lượng - Cách dùng
- Làm tiêu chất nhầy trong điều trị hỗ trợ cho những bệnh nhân bị tiết chất nhầy bất thường, bệnh nhầy nhớt hay trong những bệnh lý có đờm nhầy đặc quánh như viêm phế quản cấp và mạn tính.

Nếu không có chỉ dẫn nào khác , liều thông thường như sau:

- Người lớn và trẻ em trên 7 tuổi: 200 mg x 2- 3 lần/ ngày.
- Trẻ em 2 – 7 tuổi :                200 mg x 2 lần/ ngày.
- Trẻ em dưới 2 tuổi: 100 mg x 2 lần/ ngày.

- Chất giải độc trong điều trị quá liều paracetamol.

Liều khởi đầu 140 mg/kg, tiếp theo cách 4 giờ uống một lần với liều 70 mg/kg và uống tổng cộng thêm 17 lần.

Acetylcystein có hiệu quả nhất khi dùng trong vòng 8 giờ sau khi bị quá liều paracetamol. Sau thời gian này hiệu quả sẽ giảm đi. Tuy nhiên, bắt đầu điều trị chậm hơn 24 giờ sau đó có thể vẫn còn có ích.
 
Hòa tan viên nén sủi bọt trong nước rồi uống.
 Chống chỉ định:
Quá mẫn với acetylcystein hoặc một trong các thành phần thuốc.
Tương tác thuốc:
- Nên uống tetracyclin cách xa thời gian uống Acetylcysteine ít nhất 2 giờ. 
- Không được dùng đồng thời Acetylcysteine với các thuốc giảm ho vì có thể gây tắc nghẽn dịch nhầy nghiêm trọng do giảm phản xạ ho. Nên hỏi ý kiến bác sĩ trước khi kết hợp sử dụng. 
- Acetylcysteine có thể làm tăng tác dụng giãn mạch và ức chế kết tập tiểu cầu của nitroglycerin. 
- Acetylcysteine là một chất khử – không nên phối hợp với các chất có tính oxy hoá .
Tác dụng phụ:
Rất hiếm: rối loạn tiêu hóa, viêm miệng, ù tai. 

Phản ứng quá mẫn: Co thắt phế quản, phù mạch, nổi mẫn và ngứa, hạ huyết áp hay đôi khi tăng huyết áp có thể xảy ra. 

Các tác dụng không mong muốn khác: Chứng đỏ bừng, buồn nôn và nôn, sốt, ngất, đổ mô hồi, đau khớp, nhìn mờ, rối loạn chức năng gan, nhiễm acid, co giật, ngừng hồ hấp hoặc ngừng ti";1;1;1
Clorpheniramin 4mg  CLORPHENIRAMIN MALEAT 4MG;Clorpheniramin 4mg  ;CLORPHENIRAMIN MALEAT 4MG;"1.Thuốc dị ứng clorpheniramin 4mg là gì?

Chlorpheniramine là thuốc thuộc nhóm kháng histamin, được chỉ định điều trị các triệu chứng dị ứng, sốt cỏ khô và cảm lạnh thông thường. Thuốc dị ứng clorpheniramin 4mg có hiệu quả với các triệu chứng như phát ban, chảy nước mắt, ngứa mắt, ngứa mũi, ngứa họng, ngứa da, ho, chảy nước mũi và hắt hơi.
Thuốc dị ứng clorpheniramin hoạt động bằng cách ngăn chặn tác dụng của histamin mà cơ thể ta tạo ra trong để chống lại tình trạng dị ứng. Bên cạnh đó, thuốc dị ứng clorpheniramin còn ức chế acetylcholine, giúp giảm tiết dịch cơ thể làm giảm triệu chứng chảy nước mắt và chảy nước mũi.
Các thuốc dị ứng mũi, trị ho và cảm lạnh đã được chứng minh không an toàn hoặc kém hiệu quả cho trẻ dưới 6 tuổi. Do đó, không sử dụng thuốc dị ứng clorpheniramin 4mg để điều trị các triệu chứng cảm lạnh ở trẻ dưới 6 tuổi trừ khi có chỉ định của bác sĩ.
Tăng liều thuốc dị ứng mũi clorpheniramin không giúp điều trị khỏi hoàn toàn với tác nhân dị ứng hoặc rút ngắn thời gian bệnh, ngược lại còn có thể gây ra các tác dụng phụ nghiêm trọng. Để giảm nguy cơ này, bệnh nhân nên tuân thủ cẩn thận những hướng dẫn về liều lượng thuốc. Đặc biệt, không sử dụng thuốc này chỉ để giúp trẻ dễ ngủ hơn.
Tham khảo ý kiến bác sĩ hoặc dược sĩ về những phương pháp khác làm giảm các triệu chứng ho và cảm lạnh (như uống đủ nước, sử dụng máy tạo độ ẩm trong nhà hoặc xịt mũi...).  2.Cách sử dụng thuốc dị ứng clorpheniramin 4mg

Nếu bệnh nhân tự mua thuốc dị ứng clorpheniramin mà không được bác sĩ kê đơn, hãy đọc tất cả các hướng dẫn trên bao bì sản phẩm trước khi sử dụng. Trường hợp được bác sĩ điều trị kê đơn thuốc này, hãy dùng theo chỉ dẫn.
Thuốc dị ứng clorpheniramin 4mg có các dạng bào chế như viên nén, viên nang hoặc dạng lỏng, dùng đường uống cùng với thức ăn hoặc không. Người sử dụng cần tuân thủ hướng dẫn về liều lượng trên nhãn hoặc dùng theo chỉ định của bác sĩ. Nếu người bệnh bị đau dạ dày, nên sử dụng thuốc dị ứng mũi clorpheniramin sau bữa ăn hoặc uống khi no.
Khi sử dụng clorpheniramin dạng viên nang phóng thích chậm, hãy uống toàn bộ viên thuốc. Không nên nghiền nát hoặc nhai viên thuốc dạng phóng thích chậm, phóng thích kéo dài, vì sử dụng như vậy có thể giải phóng tất cả thuốc cùng lúc dẫn đến tăng nguy cơ mắc tác dụng phụ. Ngoài ra, bệnh nhân không bẻ nhỏ viên nén phóng thích kéo dài trừ khi bác sĩ hoặc dược sĩ yêu cầu.
Đối với thuốc dị ứng clorpheniramin dạng lỏng, người bệnh nên sử dụng thiết bị định liều thuốc đặc biệt để nhận được liều chính xác. Không được sử dụng thìa gia dụng để định liều. Đối với thuốc dạng hỗn dịch, hãy lắc đều chai thuốc trước mỗi lần uống.
Liều lượng thuốc dị ứng mũi clorpheniramin tùy thuộc độ tuổi, tình trạng sức khỏe và mức độ đáp ứng điều trị. Bệnh nhân không tự ý tăng liều hoặc uống nhiều lần trong ngày nhiều hơn so với khuyến cáo của bác sĩ hoặc hướng dẫn trên bao bì.";1;1;1
NEURONSTAD;NEURONSTAD;Gabapentin 300mg;"Liều lượng - Cách dùng
- Ðộng kinh cục bộ có hay không kèm theo các cơn toàn thể thứ phát ở người lớn & trẻ > 12 tuổi: 300 mg x 3 lần/ngày, có thể tăng lên, tối đa 3600mg/ngày, chia 3 lần. Khoảng cách tối đa giữa các liều không vượt quá 12 giờ. 
- Hỗ trợ trong điều trị động kinh cục bộ có hay không kèm theo các cơn toàn thể thứ phát ở trẻ 3-12 tuổi: 25-35 mg/kg/ngày, chia 3 lần. 
- Ðau nguồn gốc thần kinh ở người lớn > 18 tuổi: 300 mg x 3 lần/ngày, tăng lên nếu cần, tối đa 3600 mg/ngày. Suy thận ClCr < 80 mL/phút: chỉnh liều.
Chống chỉ định:
Quá mẫn với thành phần thuốc.
Tương tác thuốc:
Uống cách 2 giờ với thuốc kháng acid.
Tác dụng phụ:
Đau bụng, đau lưng, mệt mỏi, sốt, đau đầu, nhiễm virus, giãn mạch, rối loạn tiêu hoá, giảm bạch cầu, phù, tăng cân, gãy xương, đau cơ, mất trí nhớ, thất điều, lú lẫn, trầm cảm, chóng mặt, loạn vận ngôn, mất ngủ.
Chú ý đề phòng:
- Nếu giảm liều hay ngưng thuốc, phải tiến hành từ từ tối thiểu trong 1 tuần trong chỉ định động kinh. 
- Phụ nư có thai & cho con bú, người lái xe & vận hành máy.";1;1;1
LISINOPRIL STELLA 10mg;LISINOPRIL STELLA 10mg;Lisinopril;"Chỉ định:
Đơn trị liệu hoặc phối hợp: tăng huyết áp, suy tim sung huyết có triệu chứng đề kháng hoặc không được kiểm soát tốt bởi thuốc lợi tiểu và glycoside tim, nhồi máu cơ tim cấp có huyết động ổn định (phối hợp thuốc làm tan huyết khối, aspirin và/ hoặc thuốc chẹn beta-adrenergic).
Bệnh thận do đái tháo đường.
Liều dùng:
Người lớn:
Tăng huyết áp: chưa dùng thuốc lợi tiểu: 5-10 mg x 1 lần/ngày, duy trì 20-40 mg/ngày dùng như liều đơn. Đang dùng thuốc lợi tiểu: ngưng dùng thuốc lợi tiểu 2-3 ngày trước khi dùng Lisinopril STELLA 10 mg (nếu không thể ngưng dùng thuốc lợi tiểu: 5 mg/ngày, bố sung Natri trước khi uống Lisinopril STELLA 10 mg).
Suy tim sung huyết: 2,5-5 mg/ngày, liều hiệu quả 5-40 mg/ngày dùng như liều đơn.
Nhồi máu cơ tim cấp: 5 mg trong vòng 24 giờ sau khi triệu chứng nhồi máu cơ tim xảy ra, liều 5 mg và 10 mg lần lượt sau 24 và 48 giờ tiếp theo. Duy trì 10 mg/ngày, tiếp tục khoảng 6 tuần.
Bệnh thận do đái tháo đường: 2,5 mg x 1 lần/ngày, duy trì 10 mg/ngày cho bệnh nhân đái tháo đường typ 1 có huyết áp bình thường (tăng đến 20 mg/ngày nếu cần đạt huyết áp tâm trương ổn định dưới 75 mmHg), bệnh nhân đái tháo đường typ 2 có huyết áp tăng: chỉnh liều để đạt huyết áp tâm trương ổn định dưới 90 mmHg.
Trẻ 6-12 tuổi: 70 mcg/kg (tới 5 mg) x 1 lần/ngày, tăng trong 1-2 tuần đến liều tối đa 600 mcg/kg hoặc 40 mg x 1 lần/ngày. Trẻ 12-18 tuổi: 2,5 mg/ngày, tăng đến tối đa 40 mg/ngày khi cần.
Người lớn suy thận: độ thanh thải creatinin (Clcr) trong khoảng 31 – 80 ml/phút: 5-10 mg x 1 lần/ngày. Clcr = 10-30 ml/phút: 2,5-5 mg x 1 lần/ngày. Clcr < 10 ml/phút hoặc thẩm tách máu: 2,5 mg x 1 lần/ngày. Không dùng cho trẻ có độ lọc cầu thận < 30 ml/phút/1,73 m2.
Cách dùng:
Lisinopril STELLA 10 mg được dùng bằng đường uống.";1;1;1
SILKERON CREME 10g;Silkeron cream 10g - Thuốc điều trị các bệnh da liễu hiệu quả;SILKERON CREME;"Tác dụng của thuốc Silkeron
Clotrimazole là một imidazol, có tác dụng kháng nấm phổ rộng, có thể kháng lại hầu hết các loại nấm gây bệnh ở người, ở liều điều trị, thuốc có tác dụng ức chế sự tổng hợp của vách tế bào, nhưng ở liều cao thì có khả năng phá hủy màng tế bào. Thường được điều chế dưới dạng bôi ngoài da.
Betamethasone là một thuốc corticoid, nên có tác dụng chống viêm, chống thấp khớp. Ngoài ra chúng còn làm giảm khả năng miễn dịch của cơ thể trước các dị nguyên lạ nên khi dùng với liều cao, thuốc có tác dụng ức chế miễn dịch. Thuốc có thể truyền từ mẹ sang con qua đường nhau thai hoặc cho con bú. Thuốc có khả năng hấp thụ tốt qua da và tại chỗ.
Gentamicin là kháng sinh thuộc nhóm aminoglycoside, có tác dụng phòng ngừa nhiễm khuẩn, giúp giảm tình trạng nhiễm khuẩn với người bị suy giảm miễn dịch do dùng thuốc. 
Chỉ định của thuốc Silkeron
Thuốc Silkeron được dùng trong: điều trị bệnh viêm da có đáp ứng với Corticoid trong các trường hợp đã có nhiễm trùng thứ phát.
Một số thể bệnh như các bênh eczema: eczema dị ứng, eczema hình đĩa, eczema tập trung, …. hoặc các bệnh khác như hăm da, viêm trầy hay nấm da.  iều dùng
Thuốc được dùng ngoài da, mỗi ngày thoa thuốc lên da 2 lần, sáng và tối lên vùng da bị bệnh, trước khi thoa phải vệ sinh da sạch sẽ. 
Cách dùng thuốc hiệu quả
Thuốc được bào chế dạng kem nên bệnh nhân sử dụng thuốc bằng cách bôi ngoài da tại vị trí các vùng da bị bệnh. Cần phải vệ  sinh da sạch sẽ trước khi bôi, thoa từ từ và đều đặn thuốc lên da để thuốc được hấp thụ nhiều nhất.";1;1;1
Stadexmin;Stadexmin;"Betamethasone, Dexchlorpheniramine
";"Thuốc Stadexmin có thành phần là Betamethason, Dexclorpheniramin maleat có tác dụng điều trị các trường hợp phức tạp ở đường hô hấp, dị ứng da và mắt, cũng như các rối loạn viêm mắt; điều trị những bệnh cần chỉ định thêm liệu pháp corticosteroid tác dụng toàn thân.";1;1;1
Betahistine STELLA 16 mg;Betahistine STELLA 16 mg;Betahistine Dihydrochloride;"Chỉ định:
Điều trị hội chứng Meniere, triệu chứng này bao gồm chóng mặt, ù tai, mất thính lực và buồn nôn.
Liều dùng: 
Người lớn: Liều khởi đầu 8 -16 mg x 3 lần/ngày, tốt nhất là uống cùng với bữa ăn. Liều duy trì 24 – 48 mg/ngày. Liều dùng không vượt quá 48 mg/ngày.
Cách dùng:
Betahistine được dùng bằng đường uống.  	Thận trọng ở bệnh nhân có tiền sử loét đường tiêu hóa; bệnh nhân bị hen phế quản; bệnh nhân bị mề đay, phát ban hoặc viêm mũi dị ứng; bệnh nhân bị hạ huyết áp nặng.
	Bệnh nhân có các vấn đề về di truyền hiếm gặp không dung nạp galactose, thiếu hụt enzym lactase toàn phần hay kém hấp thu glucose – galactose không nên dùng
	Không nên dùng Betahistine trong thai kỳ trừ khi thật cần thiết. Nên cân nhắc tầm quan trọng của thuốc đối với người mẹ so với lợi ích của việc cho con bú và nguy cơ có thể xảy ra cho trẻ.";1;1;1
Celecoxib 200 VNA;Celecoxib 200;Celecoxib 200mg;"Thuốc celecoxib là loại thuốc kháng viêm không steroid (NSAID) ức chế chọn lọc COX-2, làm giảm đau và sưng (viêm). Thuốc được sử dụng để điều trị các tình trạng sau:
Triệu chứng thoái hóa khớp và viêm khớp dạng thấp
Giảm nhẹ triệu chứng viêm cột sống dính khớp
Kiểm soát các cơn đau cấp tính
Thống kinh nguyên phát, đau sau phẫu thuật hoặc nhổ răng
Hỗ trợ điều trị polyp đại trực tràng
Bạn nên dùng thuốc celecoxib như thế nào?
Bạn nên đọc kỹ hướng dẫn sử dụng thuốc và mỗi lần tái sử dụng. Nếu bạn có bất kỳ câu hỏi nào, hãy hỏi bác sĩ hoặc dược sĩ.
Bạn nên uống thuốc này theo chỉ dẫn của bác sĩ, thường là một hoặc hai lần mỗi ngày. Để giảm nguy cơ khó chịu dạ dày, thuốc này tốt nhất nên dùng với bữa ăn. Liều lượng dựa vào tình trạng sức khỏe và đáp ứng điều trị của bạn. Dùng thuốc liều thấp nhất và chỉ trong thời gian kê toa.
Không nên tự ý ngưng thuốc khi chưa có sự đồng ý của bác sĩ  để tránh các tác dụng không mong muốn.
Bạn nên bảo quản thuốc celecoxib như thế nào?
Bạn nên bảo quản ở nhiệt độ phòng, tránh ẩm và tránh ánh sáng. Không bảo quản trong phòng tắm hoặc trong ngăn đá. Bạn nên nhớ rằng mỗi loại thuốc có thể có các phương pháp bảo quản khác nhau. Vì vậy, bạn nên đọc kỹ hướng dẫn bảo quản trên bao bì hoặc hỏi dược sĩ. Giữ thuốc tránh xa tầm tay trẻ em và thú nuôi.
Bạn không nên vứt thuốc vào toilet hoặc đường ống dẫn nước trừ khi có yêu cầu. Thay vì vậy, hãy vứt thuốc đúng cách khi thuốc quá hạn hoặc không thể sử dụng. Bạn có thể tham khảo ý kiến dược sĩ hoặc công ty xử lý rác thải địa phương về cách tiêu hủy thuốc an toàn.  Liều dùng
Những thông tin được cung cấp không thể thay thế cho lời khuyên của các chuyên viên y tế. Hãy luôn tham khảo ý kiến bác sĩ hoặc dược sĩ trước khi quyết định dùng thuốc.
Liều dùng thuốc celecoxib cho người lớn như thế nào?
Liều dùng thông thường cho người lớn để giảm đau cấp, đau sau phẫu thuật, nhổ răng, thống kinh
400mg/lần/ngày. Sau đó, bác sĩ sẽ điều chỉnh liều lượng phù hợp tùy theo khả năng đáp ứng của người bệnh.
Liều dùng thông thường cho người lớn bị thoái hóa khớp
Dùng celecoxib 200mg/ngày uống 1 lần hoặc chia 2 lần/ngày.
Liều dùng thông thường cho người lớn viêm khớp dạng thấp:
Dùng 100-200mg uống 2 lần mỗi ngày.
Liều dùng thông thường cho người lớn bị polyp đại trực tràng
Dùng 400mg/lần, 2 lần mỗi ngày.
Liều dùng celecoxib cho trẻ em như thế nào?
Liều dùng thông thường cho trẻ bị viêm khớp dạng thấp Juvenile:
Đối với trẻ từ 2 tuổi trở lên và nặng 10-25 kg, cho trẻ uống 50mg hai lần mỗi ngày.
Đối với trẻ từ 2 tuổi trở lên và nặng trên 25 kg, cho trẻ uống 100mg hai lần mỗi ngày.
Thuốc celecoxib có những dạng và hàm lượng nào?
Thuốc celecoxib có dạng viên nhộng và hàm lượng 100mg, 200mg.  Thận trọng trước khi dùng
Trước khi dùng thuốc celecoxib, bạn nên biết những gì?
Bạn không được sử dụng thuốc ngay trước khi hoặc sau khi phẫu thuật tim (ghép động mạch vành bypass hoặc bắc cầu động mạch vành).
Thuốc celecoxib có thể gây ra các vấn đề tim, đe dọa tính mạng như đau tim hoặc đột quỵ, đặc biệt nếu sử dụng lâu dài.
Loại thuốc này cũng có thể gây ảnh hưởng nghiêm trọng dạ dày hoặc ruột, bao gồm chảy máu hoặc thủng đường tiêu hóa. Những bệnh này có thể gây tử vong và có thể xảy ra không cảnh báo trước khi bạn uống celecoxib, đặc biệt là ở người lớn tuổi.
Bạn không nên sử dụng thuốc này nếu bạn bị dị ứng với celecoxib hoặc nếu bạn có tiền sử dị ứng với aspirin, thuốc sulfa hoặc các NSAID khác.
Những điều cần lưu ý nếu bạn đang mang thai hoặc cho con bú
Vẫn chưa có đầy đủ các nghiên cứu để xác định rủi ro khi dùng thuốc này trong thời kỳ mang thai hoặc cho con bú. Trước khi dùng thuốc, hãy luôn hỏi ý kiến bác sĩ để cân nhắc giữa lợi ích và nguy cơ. Không dùng thuốc cho phụ nữ 3 tháng cuối thai kỳ vì có thể có tác động xấu lên hệ tim mạch của thai nhi.
Celecoxib có thể gây ù tai, chóng mặt nên không được lái xe hoặc vận hành máy móc trong khi dùng thuốc.";1;1;1
Aprovel 300;Thuốc trị cao huyết áp Aprovel 300mg;Irbesartan 300mg;"Công dụng (Chỉ định)
Aprovel thuộc nhóm thuốc đối kháng thụ thể angiotensin-ll. Angiotensin-ll là một chất do cơ thể sinh ra, khi gắn lên thụ thể của nó ở mạch máu làm co mạch máu. Kết quả là làm tăng huyết áp. Aprovel chống lại việc gắn của angiotensin-ll lên thụ thể này do đó
làm mạch máu giãn ra và làm hạ huyết áp.
Aprovel làm chậm sự suy giảm chức năng thận ở bệnh nhân tăng huyết áp và đái tháo đường týp 2.
Aprovel được chỉ định dùng cho người lớn để:
- Điều trị tăng huyết áp (tăng huyết áp nguyên phát)
- Bảo vệ thận đối với bệnh nhân đái tháo đường týp 2 có tăng huyết áp và các bằng chứng xét nghiệm suy giảm chức năng thận.  Liều dùng
Luôn luôn tuân theo chỉ dẫn của bác sĩ dành cho bạn. Bạn phải hỏi lại bác sĩ hoặc dược sĩ nếu bạn không chắc chắn.
Cách dùng
Dùng bằng đường uống, viên thuốc phải được nuốt với một lượng nước thích hợp. Aprovel có thể được uống trong hoặc ngoài bữa ăn. Bạn nên uống liều thuốc hàng ngày vào cùng một thời điểm trong ngày. Điều quan trọng là bạn phải sử dụng Aprovel liên tục cho đến khi bác sĩ quyết định dùng phương cách điều trị khác.
* Bệnh nhân tăng huyết áp
Liều thông thường là 150mg một lần/ngày. Sau đó liều có thể tăng lên 300mg một lần/ngày tùy theo mức đáp ứng của huyết áp.
* Bệnh nhân tăng huyết áp và đái tháo đường týp 2 với bệnh thận
Đối với bệnh nhân tăng huyết áp và đái tháo đường týp 2, dùng liều duy trì 300mg một lần/ngày là thích hợp cho điều trị bệnh thận đi kèm.
Bác sĩ có thể khuyến cáo cho dùng liều thấp hơn, nhất là khi bắt đầu điều trị ở những bệnh nhân đang thẩm tách máu, hoặc ở những bệnh nhân trên 75 tuổi.
Hiệu quả hạ áp tối đa có thể đạt được trong vòng 4 - 6 tuần sau khi bắt đầu điều trị.
Trẻ em không nên dùng Aprovel
Không nên dùng Aprovel cho trẻ em dưới 18 tuổi. Nếu một trẻ nuốt vài viên thuốc, phải đi gặp bác sĩ ngay lập tức.
Nếu bạn quên uống Aprovel
Nếu bạn tình cờ quên uống một liều hàng ngày, cứ uống liều kế tiếp như bình thường. Không được uống gấp đôi liều để bù cho liều đã quên.
Nếu bạn có thêm bất cứ thắc mắc nào về việc sử dụng thuốc này, hãy hỏi bác sĩ hay dược sĩ của bạn.  Không sử dụng trong trường hợp sau
Không được dùng APROVEL
- Nếu bạn bị dị ứng với irbesartan hoặc bất kỳ thành phần nào chứa trong Aprovel
- Nếu bạn đang có thai hơn 3 tháng (tốt nhất là nên tránh dùng Aprovel từ lúc bắt đầu có thai - xem mục Phụ nữ có thai)
Không dùng Aprovel cho trẻ em (dưới 18 tuổi).";1;1;1
